"Feed Name","Price, Per Month",Source Name,Last Update,Remote Name,Local Name
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"872,222.99",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
woldenheim,19.62,Woldenheim GmbH
newsmonster,74.23,News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,55.12,MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,11826.02,Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,72222.99,Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,19.62,Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,19.62
"wol""de,nheim",19.62,Woldenheim GmbH